Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1982","1982","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1983","1983","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1984","1984","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1985","1985","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1986","1986","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1987","1987","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1988","1988","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1989","1989","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1990","1990","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1991","1991","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1992","1992","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1993","1993","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1994","1994","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1995","1995","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1996","1996","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1997","1997","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1998","1998","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1999","1999","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2000","2000","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2001","2001","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2002","2002","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2003","2003","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2004","2004","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2005","2005","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2006","2006","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2007","2007","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2008","2008","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2009","2009","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2010","2010","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2011","2011","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2012","2012","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2013","2013","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2014","2014","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2015","2015","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2016","2016","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2017","2017","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2018","2018","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2019","2019","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1961","1961","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1962","1962","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1963","1963","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1964","1964","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1965","1965","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1966","1966","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1967","1967","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1968","1968","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1969","1969","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1970","1970","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1971","1971","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1972","1972","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1973","1973","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1974","1974","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1975","1975","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1976","1976","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1977","1977","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1978","1978","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1979","1979","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1980","1980","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1981","1981","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1982","1982","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1983","1983","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1984","1984","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1985","1985","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1986","1986","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1987","1987","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1988","1988","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1989","1989","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1990","1990","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1991","1991","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1992","1992","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1993","1993","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1994","1994","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1995","1995","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1996","1996","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1997","1997","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1998","1998","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","1999","1999","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2000","2000","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2001","2001","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2002","2002","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2003","2003","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2004","2004","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2005","2005","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2006","2006","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2007","2007","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2008","2008","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2009","2009","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2010","2010","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2011","2011","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2012","2012","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2013","2013","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2014","2014","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2015","2015","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2016","2016","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2017","2017","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2018","2018","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","800","Agave fibres nes","2019","2019","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1961","1961","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1962","1962","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1963","1963","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1964","1964","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1965","1965","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1966","1966","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1967","1967","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1968","1968","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1969","1969","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1970","1970","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1971","1971","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1972","1972","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1973","1973","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1974","1974","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1975","1975","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1976","1976","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1977","1977","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1978","1978","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1979","1979","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1980","1980","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1981","1981","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1982","1982","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1983","1983","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1984","1984","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1985","1985","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1986","1986","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1987","1987","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1988","1988","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1989","1989","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1990","1990","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1991","1991","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1992","1992","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1993","1993","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1994","1994","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1995","1995","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1996","1996","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1997","1997","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1998","1998","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1999","1999","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2000","2000","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2001","2001","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2002","2002","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2003","2003","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2004","2004","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2005","2005","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2006","2006","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2007","2007","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2008","2008","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2009","2009","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2010","2010","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2011","2011","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2012","2012","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2013","2013","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2014","2014","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2015","2015","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2016","2016","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2017","2017","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2018","2018","","","",""
"QI","Production Indices","114","Kenya","432","Gross Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2019","2019","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1961","1961","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1962","1962","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1963","1963","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1964","1964","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1965","1965","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1966","1966","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1967","1967","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1968","1968","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1969","1969","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1970","1970","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1971","1971","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1972","1972","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1973","1973","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1974","1974","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1975","1975","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1976","1976","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1977","1977","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1978","1978","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1979","1979","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1980","1980","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1981","1981","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1982","1982","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1983","1983","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1984","1984","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1985","1985","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1986","1986","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1987","1987","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1988","1988","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1989","1989","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1990","1990","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1991","1991","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1992","1992","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1993","1993","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1994","1994","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1995","1995","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1996","1996","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1997","1997","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1998","1998","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","1999","1999","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2000","2000","","","",""
"QI","Production Indices","114","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","221","Almonds, with shell","2001","2001","","","",""
